date,employee,project,task,hours,billable
2026-10-01,Ines Okafor,Shop-floor mobile app,Barcode scanning,2.54,Yes
2026-10-01,Ines Okafor,Shop-floor mobile app,Offline sync,1.41,Yes
2026-10-01,Ines Okafor,Support & maintenance,Server updates,3.42,No
2026-10-01,Luca Brenner,Shop-floor mobile app,Barcode scanning,4.11,Yes
2026-10-01,Luca Brenner,Customer portal,Reports export,2.73,Yes
2026-10-01,Luca Brenner,Customer portal,Reports export,0.66,Yes
2026-10-02,Mira Solberg,Customer portal,Reports export,2.51,Yes
2026-10-02,Mira Solberg,Customer portal,Order status page,0.76,Yes
2026-10-02,Mira Solberg,Customer portal,Code review,0.96,Yes
2026-10-02,Mira Solberg,Customer portal,Code review,3.23,Yes
2026-10-02,Theo Varga,Shop-floor mobile app,Barcode scanning,3.96,Yes
2026-10-02,Theo Varga,Customer portal,Reports export,3.08,Yes
2026-10-02,Theo Varga,Customer portal,Code review,1.46,Yes
2026-10-02,Ines Okafor,Customer portal,Code review,0.69,Yes
2026-10-02,Ines Okafor,Customer portal,Code review,1.86,No
2026-10-02,Ines Okafor,Shop-floor mobile app,Push notifications,0.53,Yes
2026-10-02,Ines Okafor,Support & maintenance,Server updates,1.36,No
2026-10-02,Ines Okafor,Customer portal,Login and roles,2.2,Yes
2026-10-02,Ines Okafor,Customer portal,Reports export,1.36,Yes
2026-10-02,Luca Brenner,Customer portal,Order status page,3.86,Yes
2026-10-02,Luca Brenner,Shop-floor mobile app,Push notifications,1.23,Yes
2026-10-02,Luca Brenner,Customer portal,Order status page,0.91,Yes
