Дата;Смена;Цех;Оборудование;Сотрудник;Часы работы;Простой, мин;Причина простоя
23.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
23.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;7;60;Нет материала
23.09.2026;Вечерняя;Сборка;ASM-01;  Кузнецов Б.К. ;8;0;
23.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
2026-09-23;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
2026-09-23;Дневная;Сварка;WLD-01;Фёдоров В.К.;5,92;125;Поломка
23.09.2026;Вечерняя;Сварка;WLD-01;  Соколов К.А. ;6,33;100;Переналадка
23.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
2026-09-23;Вечерняя;Сварка;WLD-02;Попов В.Р.;8;0;
23.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
24.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;7,67;20;Контроль качества
24.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
24.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;7,42;35;Контроль качества
24.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,5;30;Замена инструмента
24.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;6,83;70;Поломка
24.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;6,42;95;Нет материала
24.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
24.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
24.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;6,33;100;Переналадка
24.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;7,25;45;Контроль качества
24.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;7,67;20;Контроль качества
24.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7,33;40;Контроль качества
24.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;5,75;135;Нет материала
24.09.2026;Вечерняя;Сварка;WLD-01;  Соколов К.А. ;7,17;50;Переналадка
24.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;7,67;20;Контроль качества
2026-09-24;Вечерняя;Сварка;WLD-02;Попов В.Р.;2,83;310;Поломка
24.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,75;15;Замена инструмента
25.09.2026;Вечерняя;Мехобработка;cnc-01 ;Алексеев В.М.;8;0;
25.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;7,33;40;Контроль качества
25.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;5,17;170;Нет материала
25.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,75;15;Замена инструмента
25.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;4,42;215;Поломка
25.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;6,42;95;Нет материала
25.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;7;60;Переналадка
25.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;6,92;65;
25.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;7,08;55;Переналадка
25.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
25.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7,33;40;Контроль качества
25.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
25.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
25.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
25.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
25.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7;60;
25.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;6,75;75;Переналадка
26.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,17;110;Переналадка
26.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;8;0;
21.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;-15;
2026-09-26;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
26.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;3;300;Поломка
26.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7,33;40;Замена инструмента
26.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;7,25;45;Переналадка
26.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
26.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
28.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,75;75;Переналадка
28.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;6,83;70;Переналадка
45.13.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;6,08;115;Плановое ТО
28.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;5,75;135;Нет материала
28.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,42;35;Переналадка
28.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,42;35;Контроль качества
2026-09-28;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;8;0;
28.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
28.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;5,42;155;Плановое ТО
28.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
28.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;5,25;165;Нет материала
28.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
28.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
28.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;7,42;35;Контроль качества
28.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;7;60;Переналадка
28.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;7,33;40;Переналадка
28.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
28.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;8;0;
28.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
29.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
29.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;6,08;115;Переналадка
29.09.2026;Дневная;Мехобработка;CNC-02;  Морозов Л.Д. ;7,08;55;Переналадка
29.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,17;50;Переналадка
29.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;5,92;125;Нет материала
29.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
29.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
29.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
29.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;6,75;75;Переналадка
29.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
29.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
29.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;2,67;320;Поломка
29.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;7,17;50;Замена инструмента
29.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
29.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
29.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;6,17;110;Плановое ТО
29.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,42;35;Переналадка
30.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;5,92;125;Плановое ТО
30.09.2026;Ночная;Мехобработка;CNC-01;  Соколов Н.Г. ;8;0;
30.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,25;45;Переналадка
30.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;6,92;65;Переналадка
30.09.2026;Ночная;Мехобработка;cnc-02 ;Михайлов С.Л.;7,25;45;Переналадка
30.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
30.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;7,25;45;Переналадка
30.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;5,25;165;Нет материала
30.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;7,33;40;Замена инструмента
30.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;6,83;70;Переналадка
30.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;5,58;145;Нет материала
30.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
30.09.2026;Вечерняя;Сварка;WLD-01;  Соколов К.А. ;2,08;355;Поломка
30.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;5,67;140;Нет материала
30.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;6,58;85;Переналадка
30.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
