Дата;Сотрудник;Проект;Задача;Часы;Оплачиваемо
28.09.2026;Варга Тео;Клиентский портал;Код-ревью;1,2;Да
28.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;1,86;Да
28.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;1,56;Да
28.09.2026;Окафор Инес;Клиентский портал;Код-ревью;2,67;Да
28.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;1,09;Да
28.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;0,32;Да
28.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;2,05;Да
28.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;2,93;Да
28.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;1,24;Да
28.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;1,03;Да
28.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,75;Да
29.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;2,33;Да
29.09.2026;Сольберг Мира;Поддержка;Созвон с клиентом;1,7;Нет
29.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;1,85;Нет
29.09.2026;Сольберг Мира;Клиентский портал;Код-ревью;1,54;Да
29.09.2026;Сольберг Мира;Клиентский портал;Код-ревью;0,58;Да
29.09.2026;Варга Тео;Поддержка;Обновление сервера;1,27;Нет
29.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;3,69;Да
29.09.2026;Варга Тео;Клиентский портал;Код-ревью;3,04;Нет
29.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;3,3;Да
29.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,13;Да
29.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;1,08;Да
29.09.2026;Окафор Инес;Клиентский портал;Код-ревью;1,99;Да
29.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;2,23;Да
29.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;3,91;Да
29.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;0,8;Да
30.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;3;Да
30.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;1,8;Да
30.09.2026;Сольберг Мира;Поддержка;Обновление сервера;2,49;Да
30.09.2026;Сольберг Мира;Поддержка;Созвон с клиентом;0,71;Да
30.09.2026;Варга Тео;Клиентский портал;Код-ревью;0,93;Да
30.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;4,01;Да
30.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;1,91;Да
30.09.2026;Варга Тео;Поддержка;Исправление ошибок;1,15;Нет
30.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;3,25;Да
30.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;1,06;Да
30.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;1,69;Да
30.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;2,64;Да
30.09.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;1,25;Да
30.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;3,16;Да
30.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,95;Да
01.10.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;2,47;Да
01.10.2026;Сольберг Мира;Поддержка;Исправление ошибок;0,98;Да
01.10.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,13;Да
01.10.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,42;Да
01.10.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;3,51;Да
01.10.2026;Варга Тео;Клиентский портал;Авторизация и роли;1,48;Да
01.10.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;1,43;Да
01.10.2026;Варга Тео;Поддержка;Созвон с клиентом;1,28;Да
01.10.2026;Варга Тео;Поддержка;Созвон с клиентом;0,3;Да
01.10.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;2,54;Да
01.10.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;1,41;Да
01.10.2026;Окафор Инес;Поддержка;Обновление сервера;3,42;Нет
01.10.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;4,11;Да
01.10.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;2,73;Да
01.10.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;0,66;Да
02.10.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;2,51;Да
02.10.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;0,76;Да
02.10.2026;Сольберг Мира;Клиентский портал;Код-ревью;0,96;Да
02.10.2026;Сольберг Мира;Клиентский портал;Код-ревью;3,23;Да
02.10.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;3,96;Да
02.10.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;3,08;Да
02.10.2026;Варга Тео;Клиентский портал;Код-ревью;1,46;Да
02.10.2026;Окафор Инес;Клиентский портал;Код-ревью;0,69;Да
02.10.2026;Окафор Инес;Клиентский портал;Код-ревью;1,86;Нет
02.10.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;0,53;Да
02.10.2026;Окафор Инес;Поддержка;Обновление сервера;1,36;Нет
02.10.2026;Окафор Инес;Клиентский портал;Авторизация и роли;2,2;Да
02.10.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,36;Да
02.10.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;3,86;Да
02.10.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;1,23;Да
02.10.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;0,91;Да
