date,shift,department,machine,employee,run_hours,halt_minutes,halt_reason
2026-09-26,Day,Painting,PNT-01,Avery Lang,7.5,30,Setup / changeover
2026-09-28,Day,Machining,CNC-01,Robin Pryce,8,0,
2026-09-28,Evening,Machining,CNC-01,Jamie Sutter,8,0,
2026-09-28,Night,Machining,CNC-01,Hayden Rhodes,7.17,50,Setup / changeover
2026-09-28,Day,Machining,CNC-02,Taylor Wilder,7.08,55,Setup / changeover
2026-09-28,Evening,Machining,CNC-02,Morgan Sutter,5.75,135,No material
2026-09-28,Night,Machining,CNC-02,Quinn Harlow,7.5,30,Setup / changeover
2026-09-28,Day,Machining,CNC-03,Robin Mercer,7.33,40,Quality check
28.09.2026,Evening,Machining,CNC-03,Alex Sutter,8,0,
2026-09-28,Night,Machining,CNC-03,Jamie Harlow,8,0,
2026-09-28,Day,Assembly,ASM-01,Alex Brooks,5.42,155,Planned maintenance
2026-09-28,Evening,Assembly,ASM-01,Emerson Ellison,8,0,
2026-09-28,Day,Assembly,ASM-02,Morgan Hart,5.25,165,No material
2026-09-28,Evening,Assembly,ASM-02,Riley Doyle,8,0,
2026-09-28,Day,Welding,WLD-01,Reese Quill,8,0,
2026-09-28,Evening,Welding,WLD-01,Emerson Harlow,7.25,45,Quality check
2026-09-28,Day,Welding,WLD-02,Casey Rhodes,7.17,50,Setup / changeover
2026-09-28,Evening,Welding,WLD-02,Quinn Hart,7.25,45,Setup / changeover
2026-09-28,Day,Painting,PNT-01,Avery Lang,8,0,
2026-09-29,Day,Machining,CNC-01,Robin Pryce,8,0,
2026-09-29,Evening,Machining,CNC-01,Jamie Sutter,8,0,
2026-09-29,Day,Machining,CNC-02,Taylor Wilder,7.08,55,Setup / changeover
2026-09-29,Evening,Machining,CNC-02,Morgan Sutter,7.25,45,Quality check
2026-09-29,Night,Machining,CNC-02,  Quinn Harlow ,5.5,150,No material
2026-09-29,Day,Machining,CNC-03,Robin Mercer,6.67,80,Setup / changeover
2026-09-29,Evening,Machining,CNC-03,Alex Sutter,6.75,75,Setup / changeover
2026-09-29,Night,Machining,CNC-03,Jamie Harlow,8,0,
2026-09-29,Day,Assembly,ASM-01,Alex Brooks,8,0,
2026-09-29,Evening,Assembly,ASM-01,Emerson Ellison,7,60,Setup / changeover
2026-09-29,Day,Assembly,ASM-02,Morgan Hart,8,0,
2026-09-29,Evening,Assembly,ASM-02,Riley Doyle,8,0,
2026-09-29,Day,Welding,WLD-01,Reese Quill,7.17,50,Quality check
2026-09-29,Evening,Welding,WLD-01,Emerson Harlow,7.17,50,Tool change
2026-09-29,Day,Welding,WLD-02,Casey Rhodes,8,0,
2026-09-29,Evening,Welding,WLD-02,Quinn Hart,8,0,
2026-09-29,Day,Painting,PNT-01,Avery Lang,6.17,110,Planned maintenance
2026-09-30,Day,Machining,CNC-01,Robin Pryce,7.42,35,Setup / changeover
2026-09-30,Evening,Machining,CNC-01,Jamie Sutter,5.92,125,Planned maintenance
2026-09-30,Day,Machining,CNC-02,Taylor Wilder,3.08,295,Breakdown
2026-09-30,Evening,Machining,CNC-02,  Morgan Sutter ,7.42,35,Tool change
2026-09-30,Night,Machining,CNC-02,Quinn Harlow,7.33,40,No material
2026-09-30,Day,Machining,CNC-03,Robin Mercer,7.5,30,Tool change
2026-09-30,Evening,Machining,cnc-03 ,Alex Sutter,7.25,45,Setup / changeover
2026-09-30,Night,Machining,CNC-03,Jamie Harlow,5.25,165,No material
2026-09-30,Day,Assembly,ASM-01,Alex Brooks,7.42,35,Tool change
2026-09-30,Day,Assembly,ASM-02,Morgan Hart,7,60,Setup / changeover
2026-09-30,Evening,Assembly,ASM-02,Riley Doyle,5.58,145,No material
2026-09-30,Day,Welding,WLD-01,Reese Quill,8,0,
2026-09-30,Evening,Welding,WLD-01,Emerson Harlow,2.08,355,Breakdown
2026-09-30,Day,Welding,WLD-02,Casey Rhodes,5.67,140,No material
2026-09-30,Evening,Welding,WLD-02,  Quinn Hart ,6.33,100,Setup / changeover
2026-09-30,Day,Painting,PNT-01,Avery Lang,8,0,
